6.0,0.015
10.0,0.025
18.0,0.0438
13.0,0.032
13.0,0.0315
2.0,0.005
19.0,0.041
3.0,0.0075
1.0,0.0025
9.0,0.021
16.0,0.038
1.0,0.0025
2.0,0.005
1.0,0.0015
3.0,0.0065
5.0,0.0125
16.0,0.0365
7.0,0.0175
8.0,0.016
13.0,0.0295
10.0,0.0235
11.0,0.0262
15.0,0.0375
10.0,0.024
8.0,0.0185
5.0,0.0125
19.0,0.0424
7.0,0.0175
12.0,0.029
14.0,0.0335
8.0,0.02
15.0,0.034
11.0,0.0255
20.0,0.0483
5.0,0.0125
17.0,0.0417
2.0,0.004
3.0,0.0075
9.0,0.0225
17.0,0.0392
6.0,0.014
20.0,0.0458
13.0,0.032
18.0,0.0398
6.0,0.015
17.0,0.0406
2.0,0.0045
13.0,0.0285
6.0,0.0145
16.0,0.0385
9.0,0.021
15.0,0.0345
5.0,0.0095
8.0,0.0194
18.0,0.043
5.0,0.0125
1.0,0.0025
11.0,0.0265
17.0,0.0379
19.0,0.0424
15.0,0.036
18.0,0.0403
13.0,0.0315
9.0,0.0206
9.0,0.0225
8.0,0.0185
11.0,0.0271
16.0,0.038
4.0,0.0095
6.0,0.015
9.0,0.0225
16.0,0.0388
6.0,0.015
3.0,0.0075
18.0,0.0427
8.0,0.019
15.0,0.0344
12.0,0.028
9.0,0.0212
9.0,0.0216
10.0,0.025
16.0,0.04
17.0,0.0415
4.0,0.01
3.0,0.0075
10.0,0.025
11.0,0.0253
10.0,0.023
9.0,0.0215
18.0,0.0446
5.0,0.0125
15.0,0.037
19.0,0.0436
2.0,0.005
13.0,0.0289
11.0,0.0241
16.0,0.0372
6.0,0.0135
11.0,0.0259
8.0,0.0175
